,name,price,date
380,"Snapper 1-2, Whole S&G",11.65,27/12/2022
381,Trout Rainbow Head On,9.01,27/12/2022
382,Trout Rainbow 6-8 oz,11.44,27/12/2022
383,Mahi Mahi Fillet Skin Off,13.22,27/12/2022
384,Salmon Chile Fillet,10.7,27/12/2022
385,Salmon Fillet Skin Off,15.5,27/12/2022
386,Salmon Fillet Skin On,13.95,27/12/2022
387,Striped Bass Wild Fillet Lg Skin On,27.95,27/12/2022
388,"Bronzini, Fillet 600-800",19.95,27/12/2022
389,"Cod Loins, Icelandic MSC 20+",19.95,27/12/2022
390,Arctic Char Whole,9.95,27/12/2022
391,Arctic Char Fillet,19.95,27/12/2022
392,Halibut Fillet Skin Off,32.95,27/12/2022
393,"Flounder Fillet, Skin Off Hand Cut",24.95,27/12/2022
394,Snapper Fillet  American Red,25.14,27/12/2022
395,Salmon Irish Fillet,16.99,27/12/2022
396,Bronzini Whole  600-800 S&G,9.76,27/12/2022
397,Lane Snapper Fillet Skin On,20.31,27/12/2022
398,Tilapia Fillet 5/7 oz,8.1,27/12/2022
399,Tuna #1 Premium Loin Yellowfin,24.02,27/12/2022
400,Grouper Fillet Domestic,29.88,27/12/2022
401,Salmon Fillet Faroe Islands Skin On,15.73,27/12/2022
402,Salmon Verlasso Fillet ASC,13.41,27/12/2022
403,Striped Bass  Farmed Fillet,19.31,27/12/2022
404,Swordfish Loin,24.95,27/12/2022
405,Chilean Sea Bass Fillet Skin Off PF,37.95,27/12/2022
406,Salmon Loch Duart Fillet,16.95,27/12/2022
407,Tuna 2+ Premium Loin Yellowfin/Bigeye,15.42,27/12/2022
408,Bronzini Whole HEAD ON Butterfly,17.95,28/12/2022
409,"Salmon, Ora King Fillet",27.95,28/12/2022
410,Dover Sole Whole,17.85,28/12/2022
411,Salmon Wester Ross filet,16.72,28/12/2022
412,Salmon Norwegian Fillet,13.44,28/12/2022
413,"Salmon, Whole Scale Gut (Canada)",8.25,28/12/2022
414,"Salmon, Sixty South Fillet",13.2,28/12/2022
415,Black Sea Bass Fillet,29.73,28/12/2022
416,"Dover Sole, Fresh Fillet Wild",52.76,28/12/2022
417,"Meagre Fillet, Skin Off",21.25,28/12/2022
418,Kanpachi Fillet Skin On,30.14,28/12/2022
419,"Arctic Charr, Scale Gut",10.45,28/12/2022
420,"Bronzini, 400-600 S&G",8.99,28/12/2022
421,"Bronzini Fillet, 400-600gr  Farmed",19.95,28/12/2022
422,Trout Rainbow Head On,9.01,28/12/2022
423,Trout Rainbow 6-8 oz,11.44,28/12/2022
424,Mahi Mahi Fillet Skin Off,13.22,28/12/2022
425,Salmon Chile Fillet,10.7,28/12/2022
426,Salmon Fillet Skin Off,15.5,28/12/2022
427,Salmon Fillet Skin On,13.95,28/12/2022
428,Striped Bass Wild Fillet Lg Skin On,27.95,28/12/2022
429,"Bronzini, Fillet 600-800",19.95,28/12/2022
430,"Cod Loins, Icelandic MSC 20+",19.95,28/12/2022
431,Arctic Char Whole,9.95,28/12/2022
